Model,Base_Model,K,Test Accuracy,Train Time/Epoch (ms),Inference Latency (ms),Peak Memory (MB)
GCN,GCN,N/A,0.7485029940119761,6.811740398406982,2.250242233276367,51.556884765625
APPNP (K=5),APPNP,5,0.7514970059880239,7.1014404296875,1.7787599563598633,56.373779296875
GPR-GNN (K=5),GPR-GNN,5,0.7485029940119761,10.178637504577637,4.574079513549805,57.57421875
APPNP (K=10),APPNP,10,0.7544910179640718,8.500149250030518,2.436800003051758,56.391357421875
GPR-GNN (K=10),GPR-GNN,10,0.7664670658682635,15.149328708648682,8.325738906860352,56.511474609375
APPNP (K=20),APPNP,20,0.7485029940119761,11.166648864746094,3.5040807723999023,55.955810546875
GPR-GNN (K=20),GPR-GNN,20,0.7485029940119761,23.557898998260498,16.026020050048828,56.04541015625
APPNP (K=40),APPNP,40,0.7425149700598802,13.687138557434082,5.080156326293945,55.704833984375
GPR-GNN (K=40),GPR-GNN,40,0.7634730538922155,41.353919506073,33.77118110656738,55.857177734375
